airline,overall_rating,review_date,traveller_type,cabin,departure_date,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Turkish Airlines,10,07-07-2018,Solo Leisure,Economy Class,01-06-2018,4,5,5,5,5,5,yes
Turkish Airlines,1,06-07-2018,Solo Leisure,Business Class,01-07-2018,1,1,1,1,1,1,no
Turkish Airlines,1,03-07-2018,Solo Leisure,Economy Class,01-07-2018,1,2,2,1,1,1,no
Turkish Airlines,10,02-07-2018,Solo Leisure,Economy Class,01-04-2018,3,5,5,5,5,5,yes
Turkish Airlines,1,02-07-2018,Solo Leisure,Business Class,01-05-2018,2,1,1,1,1,1,no
Turkish Airlines,1,29-06-2018,Solo Leisure,Economy Class,01-06-2018,3,1,1,1,1,1,no
Turkish Airlines,8,28-06-2018,Couple Leisure,Economy Class,01-06-2018,4,5,3,5,5,5,yes
Turkish Airlines,1,28-06-2018,Couple Leisure,Economy Class,01-06-2018,2,2,2,2,1,1,no
Turkish Airlines,1,28-06-2018,Family Leisure,Economy Class,01-04-2018,3,1,3,1,1,1,no
Turkish Airlines,4,27-06-2018,Business,Business Class,01-06-2018,1,1,2,1,1,2,no
Turkish Airlines,3,27-06-2018,Business,Economy Class,01-06-2018,1,1,1,1,1,1,no
Turkish Airlines,2,26-06-2018,Solo Leisure,Economy Class,01-06-2018,1,5,4,3,1,3,no
Turkish Airlines,1,26-06-2018,Solo Leisure,Economy Class,01-05-2018,3,1,1,3,1,1,no
Turkish Airlines,2,26-06-2018,Business,Economy Class,01-06-2018,1,4,3,1,3,1,no
Turkish Airlines,1,26-06-2018,Solo Leisure,Economy Class,01-06-2018,2,3,3,1,1,1,no
Turkish Airlines,3,23-06-2018,Solo Leisure,Economy Class,01-06-2018,1,3,3,1,2,2,no
Turkish Airlines,9,21-06-2018,Solo Leisure,Economy Class,01-06-2018,5,5,5,5,4,5,yes
Turkish Airlines,2,21-06-2018,Solo Leisure,Economy Class,01-08-2017,2,2,3,3,1,2,no
Turkish Airlines,9,19-06-2018,Family Leisure,Economy Class,01-06-2018,4,5,5,5,5,5,yes
Turkish Airlines,3,19-06-2018,Solo Leisure,Economy Class,01-06-2018,3,3,3,3,2,2,no
Turkish Airlines,2,14-06-2018,Business,Economy Class,01-06-2018,3,4,3,3,3,1,no
Turkish Airlines,9,13-06-2018,Family Leisure,Economy Class,01-06-2018,4,5,4,4,5,5,yes
Turkish Airlines,9,08-06-2018,Couple Leisure,Economy Class,01-12-2017,5,5,5,4,2,5,yes
Turkish Airlines,3,08-06-2018,Business,Economy Class,01-05-2018,2,2,1,1,2,1,no
Turkish Airlines,2,07-06-2018,Family Leisure,Economy Class,01-06-2018,1,2,4,4,1,2,no
Turkish Airlines,3,05-06-2018,Solo Leisure,Economy Class,01-06-2018,1,1,2,2,1,1,no
Turkish Airlines,10,04-06-2018,Business,Economy Class,01-05-2018,5,5,5,3,4,5,yes
Turkish Airlines,1,04-06-2018,Couple Leisure,Economy Class,01-05-2018,1,1,1,1,1,2,no
Turkish Airlines,10,03-06-2018,Couple Leisure,Economy Class,01-12-2017,5,5,5,5,5,5,yes
Turkish Airlines,1,28-05-2018,Family Leisure,Economy Class,01-05-2018,1,2,2,2,1,2,no
Turkish Airlines,1,27-05-2018,Solo Leisure,Economy Class,01-05-2018,1,1,1,1,1,1,no
Turkish Airlines,9,24-05-2018,Solo Leisure,Economy Class,01-03-2018,4,5,5,4,5,5,yes
Turkish Airlines,9,23-05-2018,Solo Leisure,Economy Class,01-05-2018,4,5,5,4,5,5,yes
Turkish Airlines,1,17-05-2018,Solo Leisure,Economy Class,01-05-2018,4,3,3,4,1,2,no
Turkish Airlines,9,17-05-2018,Couple Leisure,Economy Class,01-03-2018,4,4,4,4,4,5,yes
Turkish Airlines,5,16-05-2018,Business,Business Class,01-05-2018,3,5,2,4,3,2,no
Turkish Airlines,2,15-05-2018,Solo Leisure,Economy Class,01-05-2018,2,3,3,2,1,1,no
Turkish Airlines,8,14-05-2018,Solo Leisure,Economy Class,01-05-2018,4,5,5,5,3,4,yes
Turkish Airlines,3,13-05-2018,Family Leisure,Economy Class,01-05-2018,3,4,3,5,4,5,yes
Turkish Airlines,1,10-05-2018,Solo Leisure,Economy Class,01-04-2018,1,1,1,1,2,1,no
Turkish Airlines,1,03-05-2018,Couple Leisure,Economy Class,01-04-2018,1,1,1,2,1,1,no
Turkish Airlines,1,02-05-2018,Family Leisure,Economy Class,01-05-2018,1,1,2,2,1,1,no
Turkish Airlines,1,02-05-2018,Solo Leisure,Economy Class,01-04-2018,1,2,1,3,1,3,no
Turkish Airlines,5,02-05-2018,Business,Business Class,01-04-2018,2,4,3,3,3,2,no
Turkish Airlines,10,29-04-2018,Couple Leisure,Economy Class,01-04-2018,4,4,5,4,4,5,yes
Turkish Airlines,1,25-04-2018,Solo Leisure,Economy Class,01-03-2018,2,2,4,3,1,2,no
Turkish Airlines,1,24-04-2018,Business,Economy Class,01-04-2018,3,3,1,1,1,2,no
Turkish Airlines,10,19-04-2018,Couple Leisure,Economy Class,01-04-2018,5,5,5,5,4,4,yes
Turkish Airlines,7,14-04-2018,Business,Business Class,01-04-2018,3,4,4,4,4,4,yes
Turkish Airlines,1,13-04-2018,Family Leisure,Economy Class,01-04-2018,1,3,2,3,1,1,no
Turkish Airlines,1,08-04-2018,Solo Leisure,Economy Class,01-04-2018,2,2,4,2,1,1,no
Turkish Airlines,6,07-04-2018,Business,Business Class,01-04-2018,3,4,3,5,1,4,yes
Turkish Airlines,1,07-04-2018,Solo Leisure,Economy Class,01-04-2018,1,2,1,1,3,1,no
Turkish Airlines,1,04-04-2018,Solo Leisure,Economy Class,01-04-2018,2,2,1,3,1,1,no
Turkish Airlines,3,04-04-2018,Couple Leisure,Economy Class,01-05-2017,3,1,2,3,2,2,no
Turkish Airlines,1,03-04-2018,Solo Leisure,Economy Class,01-03-2018,1,1,1,3,1,1,no
Turkish Airlines,1,01-04-2018,Solo Leisure,Economy Class,01-03-2018,2,3,2,3,2,1,no
Turkish Airlines,2,30-03-2018,Family Leisure,Economy Class,01-03-2018,2,2,3,3,1,3,no
Turkish Airlines,3,24-03-2018,Business,Business Class,01-03-2018,4,5,3,4,1,2,no
